"","Country","TempRange","TempRange.Uncertainty"
"186","Tanzania",5.872,1.445
"187","Cameroon",5.87,4.299
"188","Sierra Leone",5.838,2.142
"189","Costa Rica",5.834,2.478
"190","British Virgin Islands",5.826,1.128
"191","Virgin Islands",5.826,1.128
"192","Antigua And Barbuda",5.763,1.111
"193","Jamaica",5.726,2.323
"194","Montserrat",5.721,1.131
"195","Philippines",5.708,1.722
"196","Guadeloupe",5.651,0.989
"197","Saint Kitts And Nevis",5.613,0.948
"198","Liberia",5.472,1.854
"199","Timor Leste",5.461,3.037
"200","Dominica",5.446,1.111
"201","Martinique",5.446,1.111
"202","Uganda",5.372,3.221
"203","Mayotte",5.366,3.034
"204","Brazil",5.354,1.133
"205","Peru",5.235,2.168
"206","Sao Tome And Principe",5.216,2.006
"207","Sri Lanka",5.125,1.373
"208","Saint Lucia",5.048,1.051
"209","Saint Vincent And The Grenadines",5.021,1.078
"210","Congo",4.945,1.776
"211","Barbados",4.934,1.326
"212","Panama",4.905,2.464
"213","French Polynesia",4.881,3.007
"214","Burundi",4.873,2.507
"215","Singapore",4.757,1.51
"216","Malaysia",4.691,1.32
"217","Rwanda",4.651,2.649
"218","Grenada",4.645,1.419
"219","Trinidad And Tobago",4.593,2.002
"220","Ecuador",4.567,2.166
"221","Venezuela",4.477,1.393
"222","Congo (Democratic Republic Of The)",4.466,1.748
"223","Suriname",4.435,1.972
"224","Kiribati",4.425,3.284
"225","French Guiana",4.401,2.422
"226","Baker Island",4.298,1.947
"227","Seychelles",4.25,3.332
"228","Papua New Guinea",4.15,2.306
"229","Guam",4.108,3.05
"230","Northern Mariana Islands",4.108,3.05
"231","Christmas Island",4.098,1.808
"232","Guyana",3.992,1.712
"233","Kingman Reef",3.839,3.094
"234","Palmyra Atoll",3.835,3.008
"235","American Samoa",3.831,1.972
"236","Colombia",3.811,1.439
"237","Samoa",3.808,2.042
"238","Palau",3.469,2.358
"239","Solomon Islands",3.391,3.53
"240","Federated States Of Micronesia",2.976,1.669
"241","Indonesia",2.914,0.895
