"","x"
"1",0.118662574323102
"2",0.0853342184238968
"3",0.0691157349779484
"4",0.059900543946121
"5",0.0531216061147705
"6",0.0480714743819525
"7",0.0443201585686827
"8",0.0410963700977801
"9",0.0384540390053832
"10",0.0370849839840196
"11",0.0350989923002697
"12",0.0333404180777529
"13",0.0321121653909837
"14",0.0318323660214862
"15",0.0329844808492735
"16",0.0320567318174538
"17",0.0309004383913538
"18",0.0387381667174352
"19",0.0435045037361515
"20",0.0464797325978036
"21",0.0454631711214645
"22",0.0441727436458981
"23",0.0428706055258283
"24",0.0512376383985376
"25",0.0499475020885606
"26",0.0516038357038047
"27",0.0516974907556052
"28",0.0502721782918393
"29",0.0519586404518539
"30",0.0526058175241919
"31",0.0512403103056705
"32",0.0499921146919371
"33",0.049326836933019
"34",0.048344053737436
"35",0.0471978513454969
"36",0.0461719329550895
"37",0.0451710496242093
"38",0.0446287149365124
"39",0.0444079207930218
"40",0.0436000562356516
"41",0.0432527610521972
"42",0.0425779461753261
"43",0.041717229495248
"44",0.0418354410887701
"45",0.0411032672697113
"46",0.040347356934544
"47",0.0395011515576844
"48",0.0390873128058168
"49",0.039296610895347
"50",0.0410721886728596
"51",0.0406363767640497
"52",0.0425410032374645
"53",0.0434254081666437
"54",0.0510356504611357
"55",0.0500190125280747
"56",0.0491312618688943
"57",0.0494918753550611
"58",0.0485463181671638
"59",0.0481458438155535
"60",0.0477118298956689
"61",0.0467999308527266
"62",0.0459421866529815
"63",0.047386078356917
"64",0.0466787475879905
"65",0.0458911270020035
"66",0.0458311216649887
"67",0.046313982549829
"68",0.0457072065680581
"69",0.0457112089817734
"70",0.0461964799347598
"71",0.0453618272831086
"72",0.0450504621520078
"73",0.044373059643995
"74",0.0475003753461158
"75",0.0521457431882281
"76",0.0513350262157668
"77",0.0513253903224796
"78",0.0509360655104456
"79",0.0516362258914652
"80",0.0558271705646067
"81",0.0566950726985317
"82",0.056061174039444
"83",0.0550622337821705
"84",0.0540865044916074
"85",0.0542003847426271
"86",0.0532541634139168
"87",0.0559377891987384
"88",0.0565048202563673
"89",0.0557948272842507
"90",0.0548551902574322
"91",0.0539664605869917
"92",0.0533275970712329
"93",0.0524282703048467
"94",0.0515096887438036
"95",0.0512809203090033
"96",0.0504437123815488
"97",0.0497518801754597
"98",0.0491234476678039
"99",0.049775843472265
"100",0.0489306493181212
"101",0.0614478040221546
"102",0.0618040294288255
"103",0.0608706336920349
"104",0.0598248873371201
"105",0.05878989893224
"106",0.0584524899799412
"107",0.0574755183746648
"108",0.0573071923683456
"109",0.0563357253451171
"110",0.0553671924199876
"111",0.0545427442906192
"112",0.0536074763362138
"113",0.0533284045674006
"114",0.0525454487731565
"115",0.0529797547131198
"116",0.0526446463050617
"117",0.0530031233723473
"118",0.0523331191874644
"119",0.05486876698159
"120",0.061336476185396
"121",0.0679616861099094
"122",0.0676211828850145
"123",0.0691436164467176
"124",0.0712258098561303
"125",0.0711587645995283
"126",0.0703077048551757
"127",0.0711053548888275
"128",0.0701511693749795
"129",0.0691078047662941
"130",0.0683116802788287
"131",0.0677012282318485
"132",0.0677460445694704
"133",0.0666275075708822
"134",0.0664514511664935
"135",0.0655768961823402
"136",0.0656652067297379
"137",0.0645990130530819
"138",0.0659202457409003
"139",0.0648021590317106
"140",0.063709419907807
"141",0.0630489548398777
"142",0.0620287118054522
"143",0.0624458979220005
"144",0.0625785318093215
"145",0.0615438549820864
"146",0.0605946898623401
"147",0.0603647559847784
"148",0.0593477776045699
"149",0.0587510633889349
"150",0.0589986734327693
"151",0.0593461663041138
"152",0.0593222044759239
"153",0.0589960488154389
"154",0.0581393084366226
"155",0.0712843480867259
"156",0.0739792599051236
"157",0.072909829842087
"158",0.0733211374790257
"159",0.0721117380270871
"160",0.0709289947121405
"161",0.0697725346578458
"162",0.0689515190049308
"163",0.0682696329106346
"164",0.0671427502838984
"165",0.066331071979591
"166",0.0654059336302965
"167",0.0715087765485358
"168",0.0703041435411541
"169",0.0694275397601141
"170",0.0682758271668675
"171",0.0671636525607629
"172",0.0668189569303326
"173",0.0662349910758446
"174",0.0652386401824441
"175",0.0645463023594524
"176",0.0634802123756845
"177",0.0768642214140176
"178",0.0758184555738106
"179",0.0747687621056689
"180",0.0748379341920288
"181",0.0738468027820988
"182",0.0726436485208826
"183",0.0734162170991693
"184",0.0722718070646621
"185",0.0713681547289674
"186",0.0702077810774999
"187",0.0737992642107416
"188",0.0727069546870448
"189",0.0723581532399649
"190",0.0719948573072739
"191",0.0710919539691697
"192",0.0703512745299689
